TaskA3: All Temperature Data that is between -10.0 and 50.0 degrees Celcius in United States
Temperature(C), Year, Month, Country, Country_Code
-6.55(C) 20.21(F), 2004, Jan, United States, USA
-6.05(C) 21.1(F), 2008, Jan, United States, USA
-5.98(C) 21.24(F), 2009, Jan, United States, USA
-5.75(C) 21.65(F), 2010, Jan, United States, USA
-5.64(C) 21.86(F), 2011, Jan, United States, USA
-5.45(C) 22.2(F), 2012, Jan, United States, USA
-5.43(C) 22.23(F), 2000, Dec, United States, USA
-5.39(C) 22.3(F), 2007, Jan, United States, USA
-5.18(C) 22.68(F), 2010, Dec, United States, USA
-5.16(C) 22.71(F), 2009, Dec, United States, USA
-5.13(C) 22.77(F), 2013, Dec, United States, USA
-4.86(C) 23.26(F), 2000, Jan, United States, USA
-4.69(C) 23.57(F), 2008, Dec, United States, USA
-4.65(C) 23.63(F), 2014, Feb, United States, USA
-4.53(C) 23.85(F), 2007, Feb, United States, USA
-4.49(C) 23.91(F), 2005, Jan, United States, USA
-4.25(C) 24.35(F), 2011, Feb, United States, USA
-4.19(C) 24.45(F), 2013, Jan, United States, USA
-4.19(C) 24.46(F), 2015, Jan, United States, USA
-4.1(C) 24.62(F), 2003, Jan, United States, USA
-4.09(C) 24.63(F), 2008, Feb, United States, USA
-4.05(C) 24.71(F), 2016, Dec, United States, USA
-3.99(C) 24.81(F), 2010, Feb, United States, USA
-3.78(C) 25.19(F), 2001, Jan, United States, USA
-3.76(C) 25.22(F), 2001, Dec, United States, USA
-3.67(C) 25.4(F), 2012, Dec, United States, USA
-3.64(C) 25.45(F), 2014, Jan, United States, USA
-3.6(C) 25.52(F), 2007, Dec, United States, USA
-3.58(C) 25.56(F), 2004, Feb, United States, USA
-3.5(C) 25.7(F), 2005, Dec, United States, USA
-3.49(C) 25.73(F), 2015, Feb, United States, USA
-3.39(C) 25.89(F), 2013, Feb, United States, USA
-3.33(C) 26.01(F), 2003, Dec, United States, USA
-3.31(C) 26.04(F), 2003, Feb, United States, USA
-3.31(C) 26.04(F), 2002, Jan, United States, USA
-3.0(C) 26.6(F), 2001, Feb, United States, USA
-2.94(C) 26.7(F), 2004, Dec, United States, USA
-2.92(C) 26.74(F), 2009, Feb, United States, USA
-2.92(C) 26.74(F), 2016, Jan, United States, USA
-2.86(C) 26.85(F), 2006, Jan, United States, USA
-2.7(C) 27.14(F), 2002, Feb, United States, USA
-2.7(C) 27.15(F), 2011, Dec, United States, USA
-2.61(C) 27.31(F), 2006, Feb, United States, USA
-2.3(C) 27.85(F), 2006, Dec, United States, USA
-2.16(C) 28.1(F), 2005, Feb, United States, USA
-2.02(C) 28.37(F), 2002, Dec, United States, USA
-1.45(C) 29.38(F), 2012, Feb, United States, USA
-1.43(C) 29.43(F), 2015, Dec, United States, USA
-1.19(C) 29.85(F), 2014, Dec, United States, USA
